Rank,Name,Initial,Year GDP,Holiday Count,Long Week days
1,United States,US,201999.6,10,29
2,China,CN,131186.9,7,23
3,Japan,JP,50631.3,14,34
4,Germany,DE,39348.1,17,40
5,France,FR,27656.0,15,33
6,United Kingdom,GB,26612.3,13,33
7,India,IN,26541.7,0,0
8,Brazil,BR,21997.2,12,35
9,Italy,IT,20489.9,12,18
10,Canada,CA,17634.9,30,48
11,South Korea,KR,15973.9,0,0
12,Russia,RU,15229.0,13,26
13,Australia,AU,14822.8,20,37
14,Spain,ES,14199.3,35,58
15,Mexico,MX,12499.7,8,26
16,Indonesia,ID,10921.4,8,23
17,Turkey,TR,9057.16,7,17
18,Netherlands,NL,8910.37,10,23
19,Switzerland,CH,7087.96,16,39
20,Saudi Arabia,SA,7084.87,0,0
21,Argentina,AR,6392.24,16,37
22,Sweden,SE,5949.78,16,27
23,Taiwan,TW,5882.77,0,0
24,Poland,PL,5713.23,14,29
25,Belgium,BE,5293.42,11,25
26,Thailand,TH,4666.23,0,0
27,Nigeria,NG,4606.6,0,0
28,Austria,AT,4424.16,13,32
29,Norway,NO,4064.58,12,32
30,United Arab Emirates,AE,4009.02,0,0
31,Iran,IR,3984.32,0,0
32,Israel,IL,3616.09,0,0
33,South Africa,ZA,3611.55,12,27
34,Philippines,PH,3577.92,0,0
35,Ireland,IE,3571.71,9,22
36,Denmark,DK,3515.63,15,37
37,Hong Kong,HK,3447.81,0,0
38,Malaysia,MY,3409.23,0,0
39,Colombia,CO,3224.89,20,53
40,Singapore,SG,3168.72,0,0
41,Bangladesh,BD,2736.18,0,0
42,Finland,FI,2718.16,15,28
43,Chile,CL,2652.24,22,57
44,Czech Republic,CZ,2379.97,13,31
45,Vietnam,VN,2346.88,4,7
46,Portugal,PT,2221.17,17,32
47,Peru,PE,2217.1,13,32
48,Greece,GR,2215.66,15,23
49,New Zealand,NZ,2151.72,10,24
50,Venezuela,VE,2077.89,38,70
