Rank,Name,Initial,Year GDP,Holiday Count,Long Week days
1,United States,US,174276.0,10,30
2,China,CN,105345.3,7,13
3,Japan,JP,48487.3,14,36
4,Germany,DE,38967.9,17,40
5,United Kingdom,GB,30023.9,13,32
6,France,FR,28538.3,15,46
7,Brazil,BR,24560.5,12,22
8,Italy,IT,21551.5,12,29
9,Russia,RU,20636.6,13,26
10,India,IN,20353.9,0,0
11,Canada,CA,17928.8,29,49
12,Australia,AU,14495.2,20,37
13,South Korea,KR,14113.3,0,0
14,Spain,ES,13780.4,35,67
15,Mexico,MX,12984.7,7,21
16,Turkey,TR,9340.75,7,11
17,Indonesia,ID,8910.51,8,14
18,Netherlands,NL,8810.33,10,23
19,Saudi Arabia,SA,7563.5,0,0
20,Switzerland,CH,7092.59,16,44
21,Sweden,SE,5738.18,16,30
22,Nigeria,NG,5684.96,0,0
23,Argentina,AR,5636.14,16,38
24,Poland,PL,5450.53,13,28
25,Belgium,BE,5325.96,11,28
26,Taiwan,TW,5305.15,0,0
27,Norway,NO,4983.4,12,28
28,Austria,AT,4390.73,13,34
29,Iran,IR,4234.09,0,0
30,Thailand,TH,4065.21,0,0
31,United Arab Emirates,AE,4031.98,0,0
32,Colombia,CO,3783.23,20,47
33,Denmark,DK,3522.97,15,0
34,South Africa,ZA,3511.16,0,0
35,Malaysia,MY,3380.66,0,0
36,Israel,IL,3084.15,0,0
37,Singapore,SG,3081.55,0,0
38,Egypt,EG,3055.67,0,0
39,Hong Kong,HK,2914.63,0,0
40,Philippines,PH,2845.85,0,0
41,Finland,FI,2730.42,0,0
42,Chile,CL,2609.54,0,0
43,Ireland,IE,2580.41,0,0
44,Pakistan,PK,2443.61,0,0
45,Greece,GR,2364.55,0,0
46,Iraq,IQ,2346.51,0,0
47,Portugal,PT,2299.95,0,0
48,Kazakhstan,KZ,2214.16,0,0
49,Algeria,DZ,2138.1,0,0
50,Venezuela,VE,2123.47,0,0
