Rank,Name,Initial,Year GDP,Holiday Count,Long Week days
1,United States,US,181207.0,10,29
2,China,CN,112261.9,7,15
3,Japan,JP,43798.7,14,31
4,Germany,DE,33773.1,17,31
5,United Kingdom,GB,28633.0,13,38
6,France,FR,24347.9,15,33
7,India,IN,20898.7,0,0
8,Italy,IT,18258.2,12,25
9,Brazil,BR,18014.8,12,34
10,Canada,CA,15528.1,29,42
11,South Korea,KR,13827.6,0,0
12,Russia,RU,13658.7,13,20
13,Australia,AU,12299.4,20,37
14,Spain,ES,11935.6,35,57
15,Mexico,MX,11522.7,7,19
16,Indonesia,ID,8611.43,8,22
17,Turkey,TR,8594.49,7,19
18,Netherlands,NL,7583.81,10,27
19,Switzerland,CH,6791.53,16,45
20,Saudi Arabia,SA,6542.7,0,0
21,Argentina,AR,6316.21,16,45
22,Taiwan,TW,5252.36,0,0
23,Sweden,SE,4956.94,16,35
24,Nigeria,NG,4938.41,0,0
25,Poland,PL,4773.28,13,21
26,Belgium,BE,4552.19,11,24
27,Thailand,TH,3992.05,0,0
28,Norway,NO,3865.79,12,27
29,Austria,AT,3771.57,13,35
30,Iran,IR,3754.04,0,0
31,United Arab Emirates,AE,3579.49,0,0
32,Egypt,EG,3320.75,6,11
33,South Africa,ZA,3175.68,12,27
34,Hong Kong,HK,3094.06,0,0
35,Denmark,DK,3013.08,15,41
36,Israel,IL,2990.94,0,0
37,Singapore,SG,2968.35,0,0
38,Malaysia,MY,2964.34,0,0
39,Philippines,PH,2927.74,0,0
40,Colombia,CO,2915.3,20,56
41,Ireland,IE,2902.41,9,26
42,Pakistan,PK,2705.56,0,0
43,Venezuela,VE,2425.96,38,81
44,Chile,CL,2425.38,22,51
45,Finland,FI,2325.56,15,31
46,Bangladesh,BD,2066.95,0,0
47,Portugal,PT,1991.82,17,35
48,Greece,GR,1949.58,15,26
49,Peru,PE,1923.1,13,32
50,Vietnam,VN,1914.54,4,11
