,date,localName,name
0,2018-01-01,Capodanno,New Year's Day
1,2018-01-06,Epifania,Epiphany
2,2018-04-01,Pasqua,Easter Sunday
3,2018-04-02,Lunedì dell'Angelo,Easter Monday
4,2018-04-25,Festa della Liberazione,Liberation Day
5,2018-05-01,Festa del Lavoro,International Workers Day
6,2018-06-02,Festa della Repubblica,Republic Day
7,2018-08-15,Ferragosto o Assunzione,Assumption Day
8,2018-11-01,Tutti i santi,All Saints Day
9,2018-12-08,Immacolata Concezione,Immaculate Conception
10,2018-12-25,Natale,Christmas Day
11,2018-12-26,Santo Stefano,St. Stephen's Day
