,date,localName,name
0,2018-01-01,Neujahr,New Year's Day
1,2018-01-06,Heilige Drei Könige,Epiphany
2,2018-04-02,Ostermontag,Easter Monday
3,2018-05-01,Staatsfeiertag,National Holiday
4,2018-05-10,Christi Himmelfahrt,Ascension Day
5,2018-05-21,Pfingstmontag,Whit Monday
6,2018-05-31,Fronleichnam,Corpus Christi
7,2018-08-15,Maria Himmelfahrt,Assumption Day
8,2018-10-26,Nationalfeiertag,National Holiday
9,2018-11-01,Allerheiligen,All Saints' Day
10,2018-12-08,Mariä Empfängnis,Immaculate Conception
11,2018-12-25,Weihnachten,Christmas Day
12,2018-12-26,Stefanitag,St. Stephen's Day
