,date,localName,name
0,2015-01-01,New Year's Day,New Year's Day
1,2015-01-26,Australia Day,Australia Day
2,2015-03-02,Labour Day,Labour Day
3,2015-03-09,Canberra Day,Canberra Day
4,2015-03-09,March Public Holiday,March Public Holiday
5,2015-03-09,Eight Hours Day,Eight Hours Day
6,2015-03-09,Labour Day,Labour Day
7,2015-04-03,Good Friday,Good Friday
8,2015-04-04,Easter Eve,Holy Saturday
9,2015-04-05,Easter Sunday,Easter Sunday
10,2015-04-06,Easter Monday,Easter Monday
11,2015-04-25,Anzac Day,Anzac Day
12,2015-05-04,May Day,May Day
13,2015-05-04,Labour Day,Labour Day
14,2015-06-01,Western Australia Day,Western Australia Day
15,2015-06-08,Queen's Birthday,Queen's Birthday
16,2015-08-03,Picnic Day,Picnic Day
17,2015-10-05,Labour Day,Labour Day
18,2015-12-25,Christmas Day,Christmas Day
19,2015-12-26,Boxing Day,St. Stephen's Day
