,date,localName,name
0,2015-01-01,Jour de l'an,New Year's Day
1,2015-04-03,Vendredi saint,Good Friday
2,2015-04-06,Lundi de Pâques,Easter Monday
3,2015-05-01,Fête du premier mai,Labour Day
4,2015-05-08,Fête de la Victoire,Victory in Europe Day
5,2015-05-14,Jour de l'Ascension,Ascension Day
6,2015-05-22,Abolition de l'esclavage,Abolition of Slavery
7,2015-05-25,Lundi de Pentecôte,Whit Monday
8,2015-05-27,Abolition of Slavery,Abolition de l'esclavage
9,2015-07-14,Fête nationale,Bastille Day
10,2015-08-15,L'Assomption de Marie,Assumption Day
11,2015-11-01,La Toussaint,All Saints' Day
12,2015-11-11,Armistice de 1918,Armistice Day
13,2015-12-25,Noël,Christmas Day
14,2015-12-26,Saint-Étienne,St. Stephen's Day
