,date,localName,name
0,2014-01-01,Nytårsdag,New Year's Day
1,2014-04-17,Skærtorsdag,Maundy Thursday
2,2014-04-18,Langfredag,Good Friday
3,2014-04-20,Påskedag,Easter Sunday
4,2014-04-21,2. Påskedag,Easter Monday
5,2014-05-16,Store bededag,General Prayer Day
6,2014-05-29,Kristi Himmelfartsdag,Ascension Day
7,2014-05-30,Banklukkedag,Bank closing day
8,2014-06-05,Grundlovsdag,Constitution Day
9,2014-06-08,Pinsedag,Pentecost
10,2014-06-09,2. Pinsedag,Whit Monday
11,2014-12-24,Juleaftensdag,Christmas Eve
12,2014-12-25,Juledag / 1. juledag,Christmas Day
13,2014-12-26,2. juledag,St. Stephen's Day
14,2014-12-31,Nytårsaftensdag,New Year's Eve
