,date,localName,name
0,2014-01-01,Yılbaşı,New Year's Day
1,2014-04-23,Ulusal Egemenlik ve Çocuk Bayramı,National Independence & Children's Day
2,2014-05-01,İşçi Bayramı,Labour Day
3,2014-05-19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı",Atatürk Commemoration & Youth Day
4,2014-07-15,Demokrasi Bayramı,Democracy Day
5,2014-08-30,Zafer Bayramı,Victory Day
6,2014-10-29,Cumhuriyet Bayramı,Republic Day
