,date,localName,name
0,2017-01-01,Capodanno,New Year's Day
1,2017-01-06,Epifania,Epiphany
2,2017-04-16,Pasqua,Easter Sunday
3,2017-04-17,Lunedì dell'Angelo,Easter Monday
4,2017-04-25,Festa della Liberazione,Liberation Day
5,2017-05-01,Festa del Lavoro,International Workers Day
6,2017-06-02,Festa della Repubblica,Republic Day
7,2017-08-15,Ferragosto o Assunzione,Assumption Day
8,2017-11-01,Tutti i santi,All Saints Day
9,2017-12-08,Immacolata Concezione,Immaculate Conception
10,2017-12-25,Natale,Christmas Day
11,2017-12-26,Santo Stefano,St. Stephen's Day
