,date,localName,name
0,2017-01-01,Año Nuevo,New Year's Day
1,2017-01-06,Día de Reyes / Epifanía del Señor,Epiphany
2,2017-02-28,Día de Andalucía,Regional Holiday
3,2017-03-01,Dia de les Illes Balears,Regional Holiday
4,2017-03-19,San José,St. Joseph's Day
5,2017-04-14,Jueves Santo,Maundy Thursday
6,2017-04-14,Viernes Santo,Good Friday
7,2017-04-16,Pascua de Resurrección,Easter Sunday
8,2017-04-17,Ostermontag,Easter Monday
9,2017-04-23,San Jorge (Día de Aragón),Regional Holiday
10,2017-04-23,Día de Castilla y León,Regional Holiday
11,2017-05-01,Día del Trabajador,Labour Day
12,2017-05-02,Fiesta de la Comunidad de Madrid,Regional Holiday
13,2017-05-17,Día das Letras Galegas,Regional Holiday
14,2017-05-30,Día de Canarias,Regional Holiday
15,2017-05-31,Día de la Región Castilla-La Mancha,Regional Holiday
16,2017-06-09,Día de la Región de Murcia,Regional Holiday
17,2017-06-09,Día de La Rioja,Regional Holiday
18,2017-06-15,Corpus Christi,Corpus Christi
19,2017-06-24,Sant Joan,St. John's Day
20,2017-07-25,Santiago Apóstol,Saint James
21,2017-08-15,Asunción,Assumption
22,2017-09-02,Día de Ceuta,Municipal Holiday
23,2017-09-08,Día de Asturias,Regional Holiday
24,2017-09-08,Día de Extremadura,Regional Holiday
25,2017-09-11,Diada Nacional de Catalunya,National Day of Catalonia
26,2017-09-15,Día de Cantabria,Regional Holiday
27,2017-10-09,Dia de la Comunitat Valenciana,Regional Holiday
28,2017-10-12,Fiesta Nacional de España,Fiesta Nacional de España
29,2017-10-25,Euskadi Eguna,Regional Holiday
30,2017-11-01,Día de todos los Santos,All Saints Day
31,2017-12-06,Día de la Constitución,Constitution Day
32,2017-12-08,Inmaculada Concepción,Immaculate Conception
33,2017-12-25,Navidad,Christmas Day
34,2017-12-26,Sant Esteve,St. Stephen's Day
