,date,localName,name
0,2017-01-01,Año Nuevo,New Year's Day
1,2017-01-06,Día de los Reyes Magos,Epiphany
2,2017-02-27,Carnival,Carnival
3,2017-02-28,Carnival,Carnival
4,2017-03-19,Día de San José,Saint Joseph's Day
5,2017-04-13,Jueves Santo,Maundy Thursday
6,2017-04-14,Viernes Santo,Good Friday
7,2017-05-01,Primero de Mayo,Labour Day
8,2017-05-25,Ascensión del señor,Ascension Day
9,2017-06-15,Corpus Christi,Corpus Christi
10,2017-06-23,Sagrado Corazón,Sacred Heart
11,2017-06-29,San Pedro y San Pablo,Saint Peter and Saint Paul
12,2017-07-20,Declaracion de la Independencia de Colombia,Declaration of Independence
13,2017-08-07,Battle of Boyacá,Battle of Boyacá
14,2017-08-15,La Asunción,Assumption of Mary
15,2017-10-12,Día de la Raza,Columbus Day
16,2017-11-01,Dia de los Santos,All Saints’ Day
17,2017-11-11,Independencia de Cartagena,Independence of Cartagena
18,2017-12-08,La Inmaculada Concepción,Immaculate Conception
19,2017-12-25,Navidad,Christmas Day
