,date,localName,name
0,2016-01-01,Jour de l'an,New Year's Day
1,2016-03-25,Vendredi saint,Good Friday
2,2016-03-28,Lundi de Pâques,Easter Monday
3,2016-05-01,Fête du premier mai,Labour Day
4,2016-05-05,Jour de l'Ascension,Ascension Day
5,2016-05-08,Fête de la Victoire,Victory in Europe Day
6,2016-05-16,Lundi de Pentecôte,Whit Monday
7,2016-05-22,Abolition de l'esclavage,Abolition of Slavery
8,2016-05-27,Abolition of Slavery,Abolition de l'esclavage
9,2016-07-14,Fête nationale,Bastille Day
10,2016-08-15,L'Assomption de Marie,Assumption Day
11,2016-11-01,La Toussaint,All Saints' Day
12,2016-11-11,Armistice de 1918,Armistice Day
13,2016-12-25,Noël,Christmas Day
14,2016-12-26,Saint-Étienne,St. Stephen's Day
