,date,localName,name
0,2018-01-01,New Year's Day,New Year's Day
1,2018-01-02,New Year's Day,New Year's Day
2,2018-03-17,Saint Patrick's Day,Saint Patrick's Day
3,2018-03-30,Good Friday,Good Friday
4,2018-04-02,Easter Monday,Easter Monday
5,2018-05-07,Early May Bank Holiday,Early May Bank Holiday
6,2018-05-28,Spring Bank Holiday,Spring Bank Holiday
7,2018-07-12,Battle of the Boyne,Battle of the Boyne
8,2018-08-06,Summer Bank Holiday,Summer Bank Holiday
9,2018-08-27,Summer Bank Holiday,Summer Bank Holiday
10,2018-11-30,Saint Andrew's Day,Saint Andrew's Day
11,2018-12-25,Christmas Day,Christmas Day
12,2018-12-26,Boxing Day,St. Stephen's Day
