,date,localName,name
0,2015-01-01,Πρωτοχρονιά,New Year's Day
1,2015-01-06,Θεοφάνεια,Epiphany
2,2015-02-23,Καθαρά Δευτέρα,Clean Monday
3,2015-03-25,Ευαγγελισμός της Θεοτόκου,Annunciation
4,2015-03-25,Εικοστή Πέμπτη Μαρτίου,Independence Day
5,2015-04-10,Μεγάλη Παρασκευή,Good Friday
6,2015-04-12,Κυριακή του Πάσχα,Easter Sunday
7,2015-04-13,Δευτέρα του Πάσχα,Easter Monday
8,2015-05-01,Εργατική Πρωτομαγιά,Labour Day
9,2015-05-31,Πεντηκοστή',Pentecost
10,2015-06-01,Δευτέρα Πεντηκοστής,Whit Monday
11,2015-08-15,Κοίμηση της Θεοτόκου,Assumption Day
12,2015-10-28,Το Όχι,Ochi Day
13,2015-12-25,Χριστούγεννα,Christmas Day
14,2015-12-26,Σύναξις Υπεραγίας Θεοτόκου Μαρίας,St. Stephen's Day
