,date,localName,name
0,2018-01-01,New Year's Day,New Year's Day
1,2018-03-21,Human Rights Day,Human Rights Day
2,2018-03-30,Good Friday,Good Friday
3,2018-04-02,Family Day,Family Day
4,2018-04-27,Freedom Day,Freedom Day
5,2018-05-01,Workers' Day,Workers' Day
6,2018-06-16,Youth Day,Youth Day
7,2018-08-09,National Women's Day,National Women's Day
8,2018-09-24,Heritage Day,Heritage Day
9,2018-12-16,Day of Reconciliation,Day of Reconciliation
10,2018-12-25,Christmas Day,Christmas Day
11,2018-12-26,Day of Goodwill,St. Stephen's Day
