,date,localName,name
0,2015-01-01,Tahun Baru Masehi,New Year's Day
1,2015-04-03,Wafat Isa Almasih,Good Friday
2,2015-04-05,Paskah,Easter Sunday
3,2015-05-01,Hari Buruh Internasional,Labour Day
4,2015-05-15,Kenaikan Isa Almasih,Ascension Day
5,2015-06-01,Hari Lahir Pancasila,Pancasila Day
6,2015-08-17,Hari Ulang Tahun Kemerdekaan Republik Indonesia,Independence Day
7,2015-12-25,Hari Raya Natal,Christmas Day
