,date,localName,name
0,2017-01-01,Uudenvuodenpäivä,New Year's Day
1,2017-01-06,Loppiainen,Epiphany
2,2017-04-14,Pitkäperjantai,Good Friday
3,2017-04-16,Pääsiäispäivä,Easter Sunday
4,2017-04-17,2. pääsiäispäivä,Easter Monday
5,2017-05-01,Vappu,May Day
6,2017-05-25,Helatorstai,Ascension Day
7,2017-06-04,Helluntaipäivä,Pentecost
8,2017-06-23,Juhannusaatto,Midsummer Eve
9,2017-06-24,Juhannuspäivä,Midsummer Day
10,2017-11-04,Pyhäinpäivä,All Saints' Day
11,2017-12-06,Itsenäisyyspäivä,Independence Day
12,2017-12-24,Jouluaatto,Christmas Eve
13,2017-12-25,Joulupäivä,Christmas Day
14,2017-12-26,2. joulupäivä,St. Stephen's Day
