,date,localName,name
0,2016-01-01,Nowy Rok,New Year's Day
1,2016-01-06,Święto Trzech Króli,Epiphany
2,2016-03-27,Wielkanoc,Easter Day
3,2016-03-28,Drugi Dzień Wielkanocy,Easter Monday
4,2016-05-01,Święto Pracy,May Day
5,2016-05-03,Święto Narodowe Trzeciego Maja,Constitution Day
6,2016-05-15,Zielone Świątki,Pentecost Sunday
7,2016-05-26,Boże Ciało,Corpus Christi
8,2016-08-15,Wniebowzięcie Najświętszej Maryi Panny,Assumption Day
9,2016-11-01,Wszystkich Świętych,All Saints' Day
10,2016-11-11,Narodowe Święto Niepodległości,Independence Day
11,2016-12-25,Boże Narodzenie,Christmas Day
12,2016-12-26,Drugi Dzień Bożego Narodzenia,St. Stephen's Day
