,date,localName,name
0,2016-01-01,Confraternização Universal,New Year's Day
1,2016-02-09,Carnaval,Carnival
2,2016-03-25,Sexta feira Santa,Passion of Jesus
3,2016-03-27,Domingo de Pascoa,Easter Day
4,2016-04-21,Dia de Tiradentes,Tiradentes
5,2016-05-01,Dia do Trabalhador,Labour Day
6,2016-05-26,Corpus Christi,Corpus Christi
7,2016-09-07,Dia da Independência,Independence Day
8,2016-10-12,Nossa Senhora Aparecida,Children's Day
9,2016-11-02,Dia de Finados,Day of the Dead
10,2016-11-15,Proclamação da República,Republic Proclamation Day
11,2016-12-25,Natal,Christmas Day
