,date,localName,name
0,2014-01-01,Nowy Rok,New Year's Day
1,2014-01-06,Święto Trzech Króli,Epiphany
2,2014-04-20,Wielkanoc,Easter Day
3,2014-04-21,Drugi Dzień Wielkanocy,Easter Monday
4,2014-05-01,Święto Pracy,May Day
5,2014-05-03,Święto Narodowe Trzeciego Maja,Constitution Day
6,2014-06-08,Zielone Świątki,Pentecost Sunday
7,2014-06-19,Boże Ciało,Corpus Christi
8,2014-08-15,Wniebowzięcie Najświętszej Maryi Panny,Assumption Day
9,2014-11-01,Wszystkich Świętych,All Saints' Day
10,2014-11-11,Narodowe Święto Niepodległości,Independence Day
11,2014-12-25,Boże Narodzenie,Christmas Day
12,2014-12-26,Drugi Dzień Bożego Narodzenia,St. Stephen's Day
