,date,localName,name
0,2017-01-01,New Year's Day,New Year's Day
1,2017-02-13,Family Day,Family Day
2,2017-02-20,Louis Riel Day,Louis Riel Day
3,2017-02-20,Islander Day,Islander Day
4,2017-02-20,Family Day,Family Day
5,2017-02-20,Heritage Day,Heritage Day
6,2017-03-17,Saint Patrick's Day,Saint Patrick's Day
7,2017-04-14,Good Friday,Good Friday
8,2017-04-17,Easter Monday,Easter Monday
9,2017-04-23,Saint George's Day,Saint George's Day
10,2017-05-22,National Patriots' Day,National Patriots' Day
11,2017-05-22,Victoria Day,Victoria Day
12,2017-06-21,National Aboriginal Day,National Aboriginal Day
13,2017-06-24,Discovery Day,Discovery Day
14,2017-06-24,Fête nationale du Québec,National Holiday
15,2017-07-01,Canada Day,Canada Day
16,2017-07-12,Orangemen's Day,Orangemen's Day
17,2017-08-07,Civic Holiday,Civic Holiday
18,2017-08-07,Heritage Day,Heritage Day
19,2017-08-07,New Brunswick Day,New Brunswick Day
20,2017-08-07,Natal Day,Natal Day
21,2017-08-21,Gold Cup Parade Day,Gold Cup Parade Day
22,2017-08-21,Discovery Day,Discovery Day
23,2017-09-04,Labour Day,Labour Day
24,2017-10-09,Thanksgiving,Thanksgiving
25,2017-11-11,Armistice Day,Armistice Day
26,2017-11-11,Remembrance Day,Remembrance Day
27,2017-12-25,Christmas Day,Christmas Day
28,2017-12-26,St. Stephen's Day,St. Stephen's Day
