,date,localName,name
0,2014-01-01,Jour de l'an,New Year's Day
1,2014-04-18,Vendredi saint,Good Friday
2,2014-04-21,Lundi de Pâques,Easter Monday
3,2014-05-01,Fête du premier mai,Labour Day
4,2014-05-08,Fête de la Victoire,Victory in Europe Day
5,2014-05-22,Abolition de l'esclavage,Abolition of Slavery
6,2014-05-27,Abolition of Slavery,Abolition de l'esclavage
7,2014-05-29,Jour de l'Ascension,Ascension Day
8,2014-06-09,Lundi de Pentecôte,Whit Monday
9,2014-07-14,Fête nationale,Bastille Day
10,2014-08-15,L'Assomption de Marie,Assumption Day
11,2014-11-01,La Toussaint,All Saints' Day
12,2014-11-11,Armistice de 1918,Armistice Day
13,2014-12-25,Noël,Christmas Day
14,2014-12-26,Saint-Étienne,St. Stephen's Day
