,date,localName,name
0,2018-01-01,Nyårsdagen,New Year's Day
1,2018-01-06,Trettondedag jul,Epiphany
2,2018-03-30,Långfredagen,Good Friday
3,2018-04-01,Påskdagen,Easter Sunday
4,2018-04-02,Annandag påsk,Easter Monday
5,2018-05-01,Första maj,International Workers' Day
6,2018-05-10,Kristi himmelsfärds dag,Ascension Day
7,2018-05-20,Pingstdagen,Pentecost Sunday
8,2018-06-06,Sveriges nationaldag,National Day of Sweden
9,2018-06-22,Midsommarafton,Midsummer Eve
10,2018-06-23,Midsommar,Midsummer Day
11,2018-11-03,Alla helgons dag,All Saints' Day
12,2018-12-24,Julafton,Christmas Eve
13,2018-12-25,Juldagen,Christmas Day
14,2018-12-26,Annandag jul,St. Stephen's Day
15,2018-12-31,Nyårsafton,New Year's Eve
