,date,localName,name
0,2016-01-01,Año Nuevo,New Year's Day
1,2016-01-06,Día de Reyes / Epifanía del Señor,Epiphany
2,2016-02-28,Día de Andalucía,Regional Holiday
3,2016-03-01,Dia de les Illes Balears,Regional Holiday
4,2016-03-19,San José,St. Joseph's Day
5,2016-03-25,Jueves Santo,Maundy Thursday
6,2016-03-25,Viernes Santo,Good Friday
7,2016-03-27,Pascua de Resurrección,Easter Sunday
8,2016-03-28,Ostermontag,Easter Monday
9,2016-04-23,San Jorge (Día de Aragón),Regional Holiday
10,2016-04-23,Día de Castilla y León,Regional Holiday
11,2016-05-01,Día del Trabajador,Labour Day
12,2016-05-02,Fiesta de la Comunidad de Madrid,Regional Holiday
13,2016-05-17,Día das Letras Galegas,Regional Holiday
14,2016-05-26,Corpus Christi,Corpus Christi
15,2016-05-30,Día de Canarias,Regional Holiday
16,2016-05-31,Día de la Región Castilla-La Mancha,Regional Holiday
17,2016-06-09,Día de la Región de Murcia,Regional Holiday
18,2016-06-09,Día de La Rioja,Regional Holiday
19,2016-06-24,Sant Joan,St. John's Day
20,2016-07-25,Santiago Apóstol,Saint James
21,2016-08-15,Asunción,Assumption
22,2016-09-02,Día de Ceuta,Municipal Holiday
23,2016-09-08,Día de Asturias,Regional Holiday
24,2016-09-08,Día de Extremadura,Regional Holiday
25,2016-09-11,Diada Nacional de Catalunya,National Day of Catalonia
26,2016-09-15,Día de Cantabria,Regional Holiday
27,2016-10-09,Dia de la Comunitat Valenciana,Regional Holiday
28,2016-10-12,Fiesta Nacional de España,Fiesta Nacional de España
29,2016-10-25,Euskadi Eguna,Regional Holiday
30,2016-11-01,Día de todos los Santos,All Saints Day
31,2016-12-06,Día de la Constitución,Constitution Day
32,2016-12-08,Inmaculada Concepción,Immaculate Conception
33,2016-12-25,Navidad,Christmas Day
34,2016-12-26,Sant Esteve,St. Stephen's Day
