,date,localName,name
0,2015-01-01,Año Nuevo,New Year's Day
1,2015-02-02,Día de la Constitución,Constitution Day
2,2015-03-16,Natalicio de Benito Juárez,Benito Juárez's birthday
3,2015-05-01,Día del Trabajo,Labor Day
4,2015-09-16,Día de la Independencia,Independence Day
5,2015-11-16,Día de la Revolución,Revolution Day
6,2015-12-25,Navidad,Christmas Day
