,date,localName,name
0,2017-01-01,Nowy Rok,New Year's Day
1,2017-01-06,Święto Trzech Króli,Epiphany
2,2017-04-16,Wielkanoc,Easter Day
3,2017-04-17,Drugi Dzień Wielkanocy,Easter Monday
4,2017-05-01,Święto Pracy,May Day
5,2017-05-03,Święto Narodowe Trzeciego Maja,Constitution Day
6,2017-06-04,Zielone Świątki,Pentecost Sunday
7,2017-06-15,Boże Ciało,Corpus Christi
8,2017-08-15,Wniebowzięcie Najświętszej Maryi Panny,Assumption Day
9,2017-11-01,Wszystkich Świętych,All Saints' Day
10,2017-11-11,Narodowe Święto Niepodległości,Independence Day
11,2017-12-25,Boże Narodzenie,Christmas Day
12,2017-12-26,Drugi Dzień Bożego Narodzenia,St. Stephen's Day
