,date,localName,name
0,2018-01-01,Uudenvuodenpäivä,New Year's Day
1,2018-01-06,Loppiainen,Epiphany
2,2018-03-30,Pitkäperjantai,Good Friday
3,2018-04-01,Pääsiäispäivä,Easter Sunday
4,2018-04-02,2. pääsiäispäivä,Easter Monday
5,2018-05-01,Vappu,May Day
6,2018-05-10,Helatorstai,Ascension Day
7,2018-05-20,Helluntaipäivä,Pentecost
8,2018-06-22,Juhannusaatto,Midsummer Eve
9,2018-06-23,Juhannuspäivä,Midsummer Day
10,2018-11-03,Pyhäinpäivä,All Saints' Day
11,2018-12-06,Itsenäisyyspäivä,Independence Day
12,2018-12-24,Jouluaatto,Christmas Eve
13,2018-12-25,Joulupäivä,Christmas Day
14,2018-12-26,2. joulupäivä,St. Stephen's Day
