,date,localName,name
0,2017-01-01,Ano Novo,New Year's Day
1,2017-02-28,Carnaval,Carnival
2,2017-04-14,Sexta-feira Santa,Good Friday
3,2017-04-16,Domingo de Páscoa,Easter Day
4,2017-04-25,Dia da Liberdade,Freedom Day
5,2017-05-01,Dia do Trabalhador,Labour Day
6,2017-06-01,Dia dos Açores,Azores Day
7,2017-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas",National Day
8,2017-06-15,Corpo de Deus,Corpus Christi
9,2017-07-01,Dia da Madeira,Madeira Day
10,2017-08-15,Assunção de Nossa Senhora,Assumption Day
11,2017-10-05,Implantação da República,Republic Day
12,2017-11-01,Dia de Todos-os-Santos,All Saints Day
13,2017-12-01,Restauração da Independência,Restoration of Independence
14,2017-12-08,Imaculada Conceição,Immaculate Conception
15,2017-12-25,Natal,Christmas Day
16,2017-12-26,Primeira Oitava,St. Stephen's Day
