,date,localName,name
0,2018-01-01,Confraternização Universal,New Year's Day
1,2018-02-13,Carnaval,Carnival
2,2018-03-30,Sexta feira Santa,Passion of Jesus
3,2018-04-01,Domingo de Pascoa,Easter Day
4,2018-04-21,Dia de Tiradentes,Tiradentes
5,2018-05-01,Dia do Trabalhador,Labour Day
6,2018-05-31,Corpus Christi,Corpus Christi
7,2018-09-07,Dia da Independência,Independence Day
8,2018-10-12,Nossa Senhora Aparecida,Children's Day
9,2018-11-02,Dia de Finados,Day of the Dead
10,2018-11-15,Proclamação da República,Republic Proclamation Day
11,2018-12-25,Natal,Christmas Day
