,date,localName,name
0,2016-01-01,Uudenvuodenpäivä,New Year's Day
1,2016-01-06,Loppiainen,Epiphany
2,2016-03-25,Pitkäperjantai,Good Friday
3,2016-03-27,Pääsiäispäivä,Easter Sunday
4,2016-03-28,2. pääsiäispäivä,Easter Monday
5,2016-05-01,Vappu,May Day
6,2016-05-05,Helatorstai,Ascension Day
7,2016-05-15,Helluntaipäivä,Pentecost
8,2016-06-24,Juhannusaatto,Midsummer Eve
9,2016-06-25,Juhannuspäivä,Midsummer Day
10,2016-11-05,Pyhäinpäivä,All Saints' Day
11,2016-12-06,Itsenäisyyspäivä,Independence Day
12,2016-12-24,Jouluaatto,Christmas Eve
13,2016-12-25,Joulupäivä,Christmas Day
14,2016-12-26,2. joulupäivä,St. Stephen's Day
