,date,localName,name
0,2015-01-01,Confraternização Universal,New Year's Day
1,2015-02-17,Carnaval,Carnival
2,2015-04-03,Sexta feira Santa,Passion of Jesus
3,2015-04-05,Domingo de Pascoa,Easter Day
4,2015-04-21,Dia de Tiradentes,Tiradentes
5,2015-05-01,Dia do Trabalhador,Labour Day
6,2015-06-04,Corpus Christi,Corpus Christi
7,2015-09-07,Dia da Independência,Independence Day
8,2015-10-12,Nossa Senhora Aparecida,Children's Day
9,2015-11-02,Dia de Finados,Day of the Dead
10,2015-11-15,Proclamação da República,Republic Proclamation Day
11,2015-12-25,Natal,Christmas Day
