,date,localName,name
0,2014-01-01,Nyårsdagen,New Year's Day
1,2014-01-06,Trettondedag jul,Epiphany
2,2014-04-18,Långfredagen,Good Friday
3,2014-04-20,Påskdagen,Easter Sunday
4,2014-04-21,Annandag påsk,Easter Monday
5,2014-05-01,Första maj,International Workers' Day
6,2014-05-29,Kristi himmelsfärds dag,Ascension Day
7,2014-06-06,Sveriges nationaldag,National Day of Sweden
8,2014-06-08,Pingstdagen,Pentecost Sunday
9,2014-06-20,Midsommarafton,Midsummer Eve
10,2014-06-21,Midsommar,Midsummer Day
11,2014-11-01,Alla helgons dag,All Saints' Day
12,2014-12-24,Julafton,Christmas Eve
13,2014-12-25,Juldagen,Christmas Day
14,2014-12-26,Annandag jul,St. Stephen's Day
15,2014-12-31,Nyårsafton,New Year's Eve
