,date,localName,name
0,2016-01-01,New Year's Day,New Year's Day
1,2016-01-04,New Year's Day,New Year's Day
2,2016-03-17,Saint Patrick's Day,Saint Patrick's Day
3,2016-03-25,Good Friday,Good Friday
4,2016-03-28,Easter Monday,Easter Monday
5,2016-05-02,Early May Bank Holiday,Early May Bank Holiday
6,2016-05-30,Spring Bank Holiday,Spring Bank Holiday
7,2016-07-12,Battle of the Boyne,Battle of the Boyne
8,2016-08-01,Summer Bank Holiday,Summer Bank Holiday
9,2016-08-29,Summer Bank Holiday,Summer Bank Holiday
10,2016-11-30,Saint Andrew's Day,Saint Andrew's Day
11,2016-12-26,Boxing Day,St. Stephen's Day
12,2016-12-27,Christmas Day,Christmas Day
