,date,localName,name
0,2018-01-01,New Year's Day,New Year's Day
1,2018-02-12,Family Day,Family Day
2,2018-02-19,Louis Riel Day,Louis Riel Day
3,2018-02-19,Islander Day,Islander Day
4,2018-02-19,Family Day,Family Day
5,2018-02-19,Heritage Day,Heritage Day
6,2018-03-17,Saint Patrick's Day,Saint Patrick's Day
7,2018-03-30,Good Friday,Good Friday
8,2018-04-02,Easter Monday,Easter Monday
9,2018-04-23,Saint George's Day,Saint George's Day
10,2018-05-21,National Patriots' Day,National Patriots' Day
11,2018-05-21,Victoria Day,Victoria Day
12,2018-06-21,National Aboriginal Day,National Aboriginal Day
13,2018-06-24,Discovery Day,Discovery Day
14,2018-06-24,Fête nationale du Québec,National Holiday
15,2018-07-01,Canada Day,Canada Day
16,2018-07-02,Canada Day,Canada Day
17,2018-07-12,Orangemen's Day,Orangemen's Day
18,2018-08-06,Civic Holiday,Civic Holiday
19,2018-08-06,Heritage Day,Heritage Day
20,2018-08-06,New Brunswick Day,New Brunswick Day
21,2018-08-06,Natal Day,Natal Day
22,2018-08-20,Gold Cup Parade Day,Gold Cup Parade Day
23,2018-08-20,Discovery Day,Discovery Day
24,2018-09-03,Labour Day,Labour Day
25,2018-10-08,Thanksgiving,Thanksgiving
26,2018-11-11,Armistice Day,Armistice Day
27,2018-11-11,Remembrance Day,Remembrance Day
28,2018-12-25,Christmas Day,Christmas Day
29,2018-12-26,St. Stephen's Day,St. Stephen's Day
