,date,localName,name
0,2018-01-01,Neujahr,New Year's Day
1,2018-01-06,Heilige Drei Könige,Epiphany
2,2018-03-08,Internationaler Frauentag,International Women's Day
3,2018-03-30,Karfreitag,Good Friday
4,2018-04-02,Ostermontag,Easter Monday
5,2018-05-01,Tag der Arbeit,Labour Day
6,2018-05-10,Christi Himmelfahrt,Ascension Day
7,2018-05-21,Pfingstmontag,Whit Monday
8,2018-05-31,Fronleichnam,Corpus Christi
9,2018-08-15,Mariä Himmelfahrt,Assumption Day
10,2018-09-20,Weltkindertag,World Children's Day
11,2018-10-03,Tag der Deutschen Einheit,German Unity Day
12,2018-10-31,Reformationstag,Reformation Day
13,2018-11-01,Allerheiligen,All Saints' Day
14,2018-11-21,Buß- und Bettag,Repentance and Prayer Day
15,2018-12-25,Erster Weihnachtstag,Christmas Day
16,2018-12-26,Zweiter Weihnachtstag,St. Stephen's Day
