,date,localName,name
0,2016-01-01,New Year's Day,New Year's Day
1,2016-02-08,Family Day,Family Day
2,2016-02-15,Louis Riel Day,Louis Riel Day
3,2016-02-15,Islander Day,Islander Day
4,2016-02-15,Family Day,Family Day
5,2016-02-15,Heritage Day,Heritage Day
6,2016-03-17,Saint Patrick's Day,Saint Patrick's Day
7,2016-03-25,Good Friday,Good Friday
8,2016-03-28,Easter Monday,Easter Monday
9,2016-04-23,Saint George's Day,Saint George's Day
10,2016-05-23,National Patriots' Day,National Patriots' Day
11,2016-05-23,Victoria Day,Victoria Day
12,2016-06-21,National Aboriginal Day,National Aboriginal Day
13,2016-06-24,Discovery Day,Discovery Day
14,2016-06-24,Fête nationale du Québec,National Holiday
15,2016-07-01,Canada Day,Canada Day
16,2016-07-12,Orangemen's Day,Orangemen's Day
17,2016-08-01,Civic Holiday,Civic Holiday
18,2016-08-01,Heritage Day,Heritage Day
19,2016-08-01,New Brunswick Day,New Brunswick Day
20,2016-08-01,Natal Day,Natal Day
21,2016-08-15,Gold Cup Parade Day,Gold Cup Parade Day
22,2016-08-15,Discovery Day,Discovery Day
23,2016-09-05,Labour Day,Labour Day
24,2016-10-10,Thanksgiving,Thanksgiving
25,2016-11-11,Armistice Day,Armistice Day
26,2016-11-11,Remembrance Day,Remembrance Day
27,2016-12-25,Christmas Day,Christmas Day
28,2016-12-26,St. Stephen's Day,St. Stephen's Day
