,date,localName,name
0,2017-01-01,Día de Año Nuevo,New Year's Day
1,2017-01-06,Día de Reyes,Epiphany
2,2017-01-14,Día de la Divina Pastora,Feast of the Divina Pastora
3,2017-01-15,Día del Maestro,Teacher's Day
4,2017-02-12,Día de la Juventud,Youth Day
5,2017-02-20,Dia de la Federacion,Federation Day
6,2017-02-27,Carnaval,Carnival
7,2017-02-28,Carnaval,Carnival
8,2017-03-08,Dia Internacional de la Mujer,International Women's Day
9,2017-03-19,Día de San José,St Joseph's Day
10,2017-03-21,Día del abolición de la esclavitud,Slavery Abolition Anniversary
11,2017-03-31,Aniversario del fundacion del San Cristóbal,"Foundation anniversary Day of San Cristóbal, Táchira"
12,2017-04-19,Diez y nueve de abril,Beginning of the Independence Movement
13,2017-05-01,Día del Trabajador,Labor Day
14,2017-05-03,Día del Cruz del Mayo,Fiesta de las Cruces
15,2017-05-14,Día de las Madres,Mother's Day
16,2017-06-18,Día de los Padres,Father's Day
17,2017-06-24,Día de San Juan Bautista y aniversario de la Batalla de Carabobo,Army Day
18,2017-06-27,Día del Periodista y aniversario de la instauración del Decreto de Instrucción pública gratuita y obligatoria,Journalists' Day
19,2017-07-05,Cinco de julio,Independence Day
20,2017-07-16,Dia del niño,Children's Day
21,2017-07-24,"Natalicio del Libertador, Dia de la Armada Nacional",Navy Day
22,2017-07-25,Aniversario del fundacion del Caracas,Caracas City Foundation Day
23,2017-08-03,Día de la Bandera,Flag Day
24,2017-09-08,"Día del Virgen del Valle, aparicion del Virgen del Coromoto",Birth of the Blessed Virgin Mary and feasts of the Virgen del Valle and Our Lady of Coromoto
25,2017-09-24,Día del Virgen de las Mercedes,Feast of the Our Lady of Mercy
26,2017-10-12,Día de la Resistencia Indígena,Day of Indigenous Resistance
27,2017-11-01,Día de Todos los Santos,All Saints' Day
28,2017-11-02,Día de los fieles difuntos,All Souls' Day
29,2017-11-17,Feria de la Chinita,Feria of La Chinita
30,2017-11-18,Feria de la Chinita,Feria of La Chinita
31,2017-11-19,Feria de la Chinita,Feria of La Chinita
32,2017-11-21,Día del estudiante universitario,University Students Day
33,2017-12-08,"Inmaculada Concepción, Dia de la Lealtad","Immaculate Conception, Loyalty Day"
34,2017-12-17,Aniversario de la muerte de Libertador Simon Bolivar,Simon Bolivar Memorial Day
35,2017-12-24,Nochebuena,Christmas Eve
36,2017-12-25,Navidad,Christmas Day
37,2017-12-31,Nochevieja,New Year's Eve
