,date,localName,name
0,2018-01-01,Nowy Rok,New Year's Day
1,2018-01-06,Święto Trzech Króli,Epiphany
2,2018-04-01,Wielkanoc,Easter Day
3,2018-04-02,Drugi Dzień Wielkanocy,Easter Monday
4,2018-05-01,Święto Pracy,May Day
5,2018-05-03,Święto Narodowe Trzeciego Maja,Constitution Day
6,2018-05-20,Zielone Świątki,Pentecost Sunday
7,2018-05-31,Boże Ciało,Corpus Christi
8,2018-08-15,Wniebowzięcie Najświętszej Maryi Panny,Assumption Day
9,2018-11-01,Wszystkich Świętych,All Saints' Day
10,2018-11-11,Narodowe Święto Niepodległości,Independence Day
11,2018-11-12,Narodowe Święto Niepodległości,Independence Day
12,2018-12-25,Boże Narodzenie,Christmas Day
13,2018-12-26,Drugi Dzień Bożego Narodzenia,St. Stephen's Day
