,date,localName,name
0,2017-01-01,Første nyttårsdag,New Year's Day
1,2017-04-13,Skjærtorsdag,Maundy Thursday
2,2017-04-14,Langfredag,Good Friday
3,2017-04-16,Første påskedag,Easter Sunday
4,2017-04-17,Andre påskedag,Easter Monday
5,2017-05-01,Første mai,Labour Day
6,2017-05-17,Syttende mai,Constitution Day
7,2017-05-25,Kristi himmelfartsdag,Ascension Day
8,2017-06-04,Første pinsedag,Pentecost
9,2017-06-05,Andre pinsedag,Whit Monday
10,2017-12-25,Første juledag,Christmas Day
11,2017-12-26,Andre juledag,St. Stephen's Day
