,date,localName,name
0,2016-01-01,Neujahr,New Year's Day
1,2016-01-06,Heilige Drei Könige,Epiphany
2,2016-03-28,Ostermontag,Easter Monday
3,2016-05-01,Staatsfeiertag,National Holiday
4,2016-05-05,Christi Himmelfahrt,Ascension Day
5,2016-05-16,Pfingstmontag,Whit Monday
6,2016-05-26,Fronleichnam,Corpus Christi
7,2016-08-15,Maria Himmelfahrt,Assumption Day
8,2016-10-26,Nationalfeiertag,National Holiday
9,2016-11-01,Allerheiligen,All Saints' Day
10,2016-12-08,Mariä Empfängnis,Immaculate Conception
11,2016-12-25,Weihnachten,Christmas Day
12,2016-12-26,Stefanitag,St. Stephen's Day
