,date,localName,name
0,2016-01-01,Neujahr,New Year's Day
1,2016-01-02,Berchtoldstag,St. Berchtold's Day
2,2016-01-06,Heilige Drei Könige,Epiphany
3,2016-03-19,Josefstag,Saint Joseph's Day
4,2016-03-25,Karfreitag,Good Friday
5,2016-03-28,Ostermontag,Easter Monday
6,2016-05-01,Tag der Arbeit,Labour Day
7,2016-05-05,Auffahrt,Ascension Day
8,2016-05-16,Pfingstmontag,Whit Monday
9,2016-05-26,Fronleichnam,Corpus Christi
10,2016-08-01,Bundesfeier,Swiss National Day
11,2016-08-15,Maria Himmelfahrt,Assumption of the Virgin Mary
12,2016-09-19,Jeûne Fédéral,Jeûne Fédéral
13,2016-11-01,Allerheiligen,All Saints' Day
14,2016-12-08,Mariä Empfängnis,Immaculate Conception
15,2016-12-25,Weihnachten,Christmas Day
16,2016-12-26,Stephanstag,St. Stephen's Day
