,date,localName,name
0,2017-01-01,Confraternização Universal,New Year's Day
1,2017-02-28,Carnaval,Carnival
2,2017-04-14,Sexta feira Santa,Passion of Jesus
3,2017-04-16,Domingo de Pascoa,Easter Day
4,2017-04-21,Dia de Tiradentes,Tiradentes
5,2017-05-01,Dia do Trabalhador,Labour Day
6,2017-06-15,Corpus Christi,Corpus Christi
7,2017-09-07,Dia da Independência,Independence Day
8,2017-10-12,Nossa Senhora Aparecida,Children's Day
9,2017-11-02,Dia de Finados,Day of the Dead
10,2017-11-15,Proclamação da República,Republic Proclamation Day
11,2017-12-25,Natal,Christmas Day
