,date,localName,name
0,2014-01-01,Новый год,New Year's Day
1,2014-01-02,Новогодние каникулы,New Year holiday
2,2014-01-03,Новогодние каникулы,New Year holiday
3,2014-01-04,Новогодние каникулы,New Year holiday
4,2014-01-05,Новогодние каникулы,New Year holiday
5,2014-01-06,Новогодние каникулы,New Year holiday
6,2014-01-07,Рождество Христово,Orthodox Christmas Day
7,2014-02-23,День защитника Отечества,Defender of the Fatherland Day
8,2014-03-08,Международный женский день,International Women's Day
9,2014-05-01,День труда,Labour Day
10,2014-05-09,День Победы,Victory Day
11,2014-06-12,День России,Russia Day
12,2014-11-04,День народного единства,Unity Day
