,date,localName,name
0,2016-01-01,New Year's Day,New Year's Day
1,2016-03-21,Human Rights Day,Human Rights Day
2,2016-03-25,Good Friday,Good Friday
3,2016-03-28,Family Day,Family Day
4,2016-04-27,Freedom Day,Freedom Day
5,2016-05-01,Workers' Day,Workers' Day
6,2016-06-16,Youth Day,Youth Day
7,2016-08-09,National Women's Day,National Women's Day
8,2016-09-24,Heritage Day,Heritage Day
9,2016-12-16,Day of Reconciliation,Day of Reconciliation
10,2016-12-25,Christmas Day,Christmas Day
11,2016-12-26,Day of Goodwill,St. Stephen's Day
