,date,localName,name
0,2018-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day
1,2018-03-30,Velký pátek,Good Friday
2,2018-04-02,Velikonoční pondělí,Easter Monday
3,2018-05-01,Svátek práce,Labour Day
4,2018-05-08,Den vítězství,Liberation Day
5,2018-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day
6,2018-07-06,Den upálení mistra Jana Husa,Jan Hus Day
7,2018-09-28,Den české státnosti,St. Wenceslas Day
8,2018-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day
9,2018-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day
10,2018-12-24,Štědrý den,Christmas Eve
11,2018-12-25,1. svátek vánoční,Christmas Day
12,2018-12-26,2. svátek vánoční,St. Stephen's Day
