,date,localName,name
0,2016-01-01,Año Nuevo,New Year's Day
1,2016-03-24,Jueves Santo,Holy Thursday
2,2016-03-25,Viernes Santo,Good Friday
3,2016-03-27,Domingo Santo,Easter Day
4,2016-05-01,Día del Trabajo,International Workers' Day
5,2016-06-29,Día de San Pedro y San Pablo,St. Peter and St. Paul
6,2016-07-28,Día de la Independencia,Independence Day
7,2016-07-29,Día de la Independencia,Independence Day
8,2016-08-30,Día de Santa Rosa de Lima,Santa Rosa de Lima
9,2016-10-08,Combate de Angamos,Battle of Angamos
10,2016-11-01,Día de Todos los Santos,All Saints Day
11,2016-12-08,Inmaculada Concepción,Immaculate Conception
12,2016-12-25,Navidad,Christmas Day
