,date,localName,name
0,2016-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day
1,2016-03-25,Velký pátek,Good Friday
2,2016-03-28,Velikonoční pondělí,Easter Monday
3,2016-05-01,Svátek práce,Labour Day
4,2016-05-08,Den vítězství,Liberation Day
5,2016-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day
6,2016-07-06,Den upálení mistra Jana Husa,Jan Hus Day
7,2016-09-28,Den české státnosti,St. Wenceslas Day
8,2016-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day
9,2016-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day
10,2016-12-24,Štědrý den,Christmas Eve
11,2016-12-25,1. svátek vánoční,Christmas Day
12,2016-12-26,2. svátek vánoční,St. Stephen's Day
