,date,localName,name
0,2015-01-01,Ano Novo,New Year's Day
1,2015-02-17,Carnaval,Carnival
2,2015-04-03,Sexta-feira Santa,Good Friday
3,2015-04-05,Domingo de Páscoa,Easter Day
4,2015-04-25,Dia da Liberdade,Freedom Day
5,2015-05-01,Dia do Trabalhador,Labour Day
6,2015-06-01,Dia dos Açores,Azores Day
7,2015-06-04,Corpo de Deus,Corpus Christi
8,2015-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas",National Day
9,2015-07-01,Dia da Madeira,Madeira Day
10,2015-08-15,Assunção de Nossa Senhora,Assumption Day
11,2015-10-05,Implantação da República,Republic Day
12,2015-11-01,Dia de Todos-os-Santos,All Saints Day
13,2015-12-01,Restauração da Independência,Restoration of Independence
14,2015-12-08,Imaculada Conceição,Immaculate Conception
15,2015-12-25,Natal,Christmas Day
16,2015-12-26,Primeira Oitava,St. Stephen's Day
