,date,localName,name
0,2018-01-01,New Year's Day,New Year's Day
1,2018-01-26,Australia Day,Australia Day
2,2018-03-05,Labour Day,Labour Day
3,2018-03-12,Canberra Day,Canberra Day
4,2018-03-12,March Public Holiday,March Public Holiday
5,2018-03-12,Eight Hours Day,Eight Hours Day
6,2018-03-12,Labour Day,Labour Day
7,2018-03-30,Good Friday,Good Friday
8,2018-03-31,Easter Eve,Holy Saturday
9,2018-04-01,Easter Sunday,Easter Sunday
10,2018-04-02,Easter Monday,Easter Monday
11,2018-04-25,Anzac Day,Anzac Day
12,2018-05-07,May Day,May Day
13,2018-05-07,Labour Day,Labour Day
14,2018-06-04,Western Australia Day,Western Australia Day
15,2018-06-11,Queen's Birthday,Queen's Birthday
16,2018-08-06,Picnic Day,Picnic Day
17,2018-10-01,Labour Day,Labour Day
18,2018-12-25,Christmas Day,Christmas Day
19,2018-12-26,Boxing Day,St. Stephen's Day
