,date,localName,name
0,2017-01-01,Neujahr,New Year's Day
1,2017-01-06,Heilige Drei Könige,Epiphany
2,2017-04-17,Ostermontag,Easter Monday
3,2017-05-01,Staatsfeiertag,National Holiday
4,2017-05-25,Christi Himmelfahrt,Ascension Day
5,2017-06-05,Pfingstmontag,Whit Monday
6,2017-06-15,Fronleichnam,Corpus Christi
7,2017-08-15,Maria Himmelfahrt,Assumption Day
8,2017-10-26,Nationalfeiertag,National Holiday
9,2017-11-01,Allerheiligen,All Saints' Day
10,2017-12-08,Mariä Empfängnis,Immaculate Conception
11,2017-12-25,Weihnachten,Christmas Day
12,2017-12-26,Stefanitag,St. Stephen's Day
