,date,localName,name
0,2018-01-01,Ano Novo,New Year's Day
1,2018-02-13,Carnaval,Carnival
2,2018-03-30,Sexta-feira Santa,Good Friday
3,2018-04-01,Domingo de Páscoa,Easter Day
4,2018-04-25,Dia da Liberdade,Freedom Day
5,2018-05-01,Dia do Trabalhador,Labour Day
6,2018-05-31,Corpo de Deus,Corpus Christi
7,2018-06-01,Dia dos Açores,Azores Day
8,2018-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas",National Day
9,2018-07-01,Dia da Madeira,Madeira Day
10,2018-08-15,Assunção de Nossa Senhora,Assumption Day
11,2018-10-05,Implantação da República,Republic Day
12,2018-11-01,Dia de Todos-os-Santos,All Saints Day
13,2018-12-01,Restauração da Independência,Restoration of Independence
14,2018-12-08,Imaculada Conceição,Immaculate Conception
15,2018-12-25,Natal,Christmas Day
16,2018-12-26,Primeira Oitava,St. Stephen's Day
