,date,localName,name
0,2015-01-01,Nytårsdag,New Year's Day
1,2015-04-02,Skærtorsdag,Maundy Thursday
2,2015-04-03,Langfredag,Good Friday
3,2015-04-05,Påskedag,Easter Sunday
4,2015-04-06,2. Påskedag,Easter Monday
5,2015-05-01,Store bededag,General Prayer Day
6,2015-05-14,Kristi Himmelfartsdag,Ascension Day
7,2015-05-15,Banklukkedag,Bank closing day
8,2015-05-24,Pinsedag,Pentecost
9,2015-05-25,2. Pinsedag,Whit Monday
10,2015-06-05,Grundlovsdag,Constitution Day
11,2015-12-24,Juleaftensdag,Christmas Eve
12,2015-12-25,Juledag / 1. juledag,Christmas Day
13,2015-12-26,2. juledag,St. Stephen's Day
14,2015-12-31,Nytårsaftensdag,New Year's Eve
