,date,localName,name
0,2018-01-01,Jour de l'an,New Year's Day
1,2018-03-30,Vendredi saint,Good Friday
2,2018-04-02,Lundi de Pâques,Easter Monday
3,2018-05-01,Fête du premier mai,Labour Day
4,2018-05-08,Fête de la Victoire,Victory in Europe Day
5,2018-05-10,Jour de l'Ascension,Ascension Day
6,2018-05-21,Lundi de Pentecôte,Whit Monday
7,2018-05-22,Abolition de l'esclavage,Abolition of Slavery
8,2018-05-27,Abolition of Slavery,Abolition de l'esclavage
9,2018-07-14,Fête nationale,Bastille Day
10,2018-08-15,L'Assomption de Marie,Assumption Day
11,2018-11-01,La Toussaint,All Saints' Day
12,2018-11-11,Armistice de 1918,Armistice Day
13,2018-12-25,Noël,Christmas Day
14,2018-12-26,Saint-Étienne,St. Stephen's Day
