,date,localName,name
0,2018-01-01,Πρωτοχρονιά,New Year's Day
1,2018-01-06,Θεοφάνεια,Epiphany
2,2018-02-19,Καθαρά Δευτέρα,Clean Monday
3,2018-03-25,Ευαγγελισμός της Θεοτόκου,Annunciation
4,2018-03-25,Εικοστή Πέμπτη Μαρτίου,Independence Day
5,2018-04-06,Μεγάλη Παρασκευή,Good Friday
6,2018-04-08,Κυριακή του Πάσχα,Easter Sunday
7,2018-04-09,Δευτέρα του Πάσχα,Easter Monday
8,2018-05-01,Εργατική Πρωτομαγιά,Labour Day
9,2018-05-27,Πεντηκοστή',Pentecost
10,2018-05-28,Δευτέρα Πεντηκοστής,Whit Monday
11,2018-08-15,Κοίμηση της Θεοτόκου,Assumption Day
12,2018-10-28,Το Όχι,Ochi Day
13,2018-12-25,Χριστούγεννα,Christmas Day
14,2018-12-26,Σύναξις Υπεραγίας Θεοτόκου Μαρίας,St. Stephen's Day
