,date,localName,name
0,2016-01-01,Capodanno,New Year's Day
1,2016-01-06,Epifania,Epiphany
2,2016-03-27,Pasqua,Easter Sunday
3,2016-03-28,Lunedì dell'Angelo,Easter Monday
4,2016-04-25,Festa della Liberazione,Liberation Day
5,2016-05-01,Festa del Lavoro,International Workers Day
6,2016-06-02,Festa della Repubblica,Republic Day
7,2016-08-15,Ferragosto o Assunzione,Assumption Day
8,2016-11-01,Tutti i santi,All Saints Day
9,2016-12-08,Immacolata Concezione,Immaculate Conception
10,2016-12-25,Natale,Christmas Day
11,2016-12-26,Santo Stefano,St. Stephen's Day
