,date,localName,name
0,2015-01-01,Lá Caille,New Year's Day
1,2015-03-17,Lá Fhéile Pádraig,Saint Patrick's Day
2,2015-04-06,Luan Cásca,Easter Monday
3,2015-05-04,Lá Bealtaine,May Day
4,2015-06-01,Lá Saoire i mí an Mheithimh,June Holiday
5,2015-08-03,Lá Saoire i mí Lúnasa,August Holiday
6,2015-10-26,Lá Saoire i mí Dheireadh Fómhair,October Holiday
7,2015-12-25,Lá Nollag,Christmas Day
8,2015-12-26,Lá Fhéile Stiofáin,St. Stephen's Day
