,date,localName,name
0,2016-01-01,Nyårsdagen,New Year's Day
1,2016-01-06,Trettondedag jul,Epiphany
2,2016-03-25,Långfredagen,Good Friday
3,2016-03-27,Påskdagen,Easter Sunday
4,2016-03-28,Annandag påsk,Easter Monday
5,2016-05-01,Första maj,International Workers' Day
6,2016-05-05,Kristi himmelsfärds dag,Ascension Day
7,2016-05-15,Pingstdagen,Pentecost Sunday
8,2016-06-06,Sveriges nationaldag,National Day of Sweden
9,2016-06-24,Midsommarafton,Midsummer Eve
10,2016-06-25,Midsommar,Midsummer Day
11,2016-11-05,Alla helgons dag,All Saints' Day
12,2016-12-24,Julafton,Christmas Eve
13,2016-12-25,Juldagen,Christmas Day
14,2016-12-26,Annandag jul,St. Stephen's Day
15,2016-12-31,Nyårsafton,New Year's Eve
