,date,localName,name
0,2017-01-01,Nyårsdagen,New Year's Day
1,2017-01-06,Trettondedag jul,Epiphany
2,2017-04-14,Långfredagen,Good Friday
3,2017-04-16,Påskdagen,Easter Sunday
4,2017-04-17,Annandag påsk,Easter Monday
5,2017-05-01,Första maj,International Workers' Day
6,2017-05-25,Kristi himmelsfärds dag,Ascension Day
7,2017-06-04,Pingstdagen,Pentecost Sunday
8,2017-06-06,Sveriges nationaldag,National Day of Sweden
9,2017-06-23,Midsommarafton,Midsummer Eve
10,2017-06-24,Midsommar,Midsummer Day
11,2017-11-04,Alla helgons dag,All Saints' Day
12,2017-12-24,Julafton,Christmas Eve
13,2017-12-25,Juldagen,Christmas Day
14,2017-12-26,Annandag jul,St. Stephen's Day
15,2017-12-31,Nyårsafton,New Year's Eve
