,date,localName,name
0,2014-01-01,Capodanno,New Year's Day
1,2014-01-06,Epifania,Epiphany
2,2014-04-20,Pasqua,Easter Sunday
3,2014-04-21,Lunedì dell'Angelo,Easter Monday
4,2014-04-25,Festa della Liberazione,Liberation Day
5,2014-05-01,Festa del Lavoro,International Workers Day
6,2014-06-02,Festa della Repubblica,Republic Day
7,2014-08-15,Ferragosto o Assunzione,Assumption Day
8,2014-11-01,Tutti i santi,All Saints Day
9,2014-12-08,Immacolata Concezione,Immaculate Conception
10,2014-12-25,Natale,Christmas Day
11,2014-12-26,Santo Stefano,St. Stephen's Day
