,date,localName,name
0,2017-01-01,Año Nuevo,New Year's Day
1,2017-04-13,Jueves Santo,Holy Thursday
2,2017-04-14,Viernes Santo,Good Friday
3,2017-04-16,Domingo Santo,Easter Day
4,2017-05-01,Día del Trabajo,International Workers' Day
5,2017-06-29,Día de San Pedro y San Pablo,St. Peter and St. Paul
6,2017-07-28,Día de la Independencia,Independence Day
7,2017-07-29,Día de la Independencia,Independence Day
8,2017-08-30,Día de Santa Rosa de Lima,Santa Rosa de Lima
9,2017-10-08,Combate de Angamos,Battle of Angamos
10,2017-11-01,Día de Todos los Santos,All Saints Day
11,2017-12-08,Inmaculada Concepción,Immaculate Conception
12,2017-12-25,Navidad,Christmas Day
