,date,localName,name
0,2016-01-01,Første nyttårsdag,New Year's Day
1,2016-03-24,Skjærtorsdag,Maundy Thursday
2,2016-03-25,Langfredag,Good Friday
3,2016-03-27,Første påskedag,Easter Sunday
4,2016-03-28,Andre påskedag,Easter Monday
5,2016-05-01,Første mai,Labour Day
6,2016-05-05,Kristi himmelfartsdag,Ascension Day
7,2016-05-15,Første pinsedag,Pentecost
8,2016-05-16,Andre pinsedag,Whit Monday
9,2016-05-17,Syttende mai,Constitution Day
10,2016-12-25,Første juledag,Christmas Day
11,2016-12-26,Andre juledag,St. Stephen's Day
