Rank,Name,Initial,Year GDP
1,1,USA,181207.0
2,2,CHN,112261.9
3,3,JPN,43798.7
4,4,DEU,33773.1
5,5,GBR,28633.0
6,6,FRA,24347.9
7,7,IND,20898.7
8,8,ITA,18258.2
9,9,BRA,18014.8
10,10,CAN,15528.1
11,11,KOR,13827.6
12,12,RUS,13658.7
13,13,AUS,12299.4
14,14,ESP,11935.6
15,15,MEX,11522.7
16,16,IDN,8611.43
17,17,TUR,8594.49
18,18,NLD,7583.81
19,19,CHE,6791.53
20,20,SAU,6542.7
21,21,ARG,6316.21
22,22,TWN,5252.36
23,23,SWE,4956.94
24,24,NGA,4938.41
25,25,POL,4773.28
26,26,BEL,4552.19
27,27,THA,3992.05
28,28,NOR,3865.79
29,29,AUT,3771.57
30,30,IRN,3754.04
31,31,ARE,3579.49
32,32,EGY,3320.75
33,33,ZAF,3175.68
34,34,HKG,3094.06
35,35,DNK,3013.08
36,36,ISR,2990.94
37,37,SGP,2968.35
38,38,MYS,2964.34
39,39,PHL,2927.74
40,40,COL,2915.3
41,41,IRL,2902.41
42,42,PAK,2705.56
43,43,VEN,2425.96
44,44,CHL,2425.38
45,45,FIN,2325.56
46,46,BGD,2066.95
47,47,PRT,1991.82
48,48,GRC,1949.58
49,49,PER,1923.1
50,50,VNM,1914.54
