Rank,Name,Initial,Year GDP
1,1,USA,186244.5
2,2,CHN,112321.1
3,3,JPN,49365.4
4,4,DEU,34792.3
5,5,GBR,26291.9
6,6,FRA,24664.7
7,7,IND,22637.9
8,8,ITA,18507.4
9,9,BRA,17986.2
10,10,CAN,15297.6
11,11,KOR,14110.4
12,12,RUS,12831.6
13,13,AUS,12616.5
14,14,ESP,12326.0
15,15,MEX,10469.3
16,16,IDN,9324.48
17,17,TUR,8633.9
18,18,NLD,7775.48
19,19,CHE,6690.38
20,20,SAU,6464.38
21,21,ARG,5447.35
22,22,TWN,5295.75
23,23,SWE,5110.0
24,24,POL,4693.23
25,25,BEL,4665.59
26,26,THA,4071.09
27,27,NGA,4054.42
28,28,IRN,4044.47
29,29,AUT,3865.87
30,30,NOR,3705.57
31,31,ARE,3487.43
32,32,EGY,3323.49
33,33,HKG,3209.12
34,34,ISR,3177.48
35,35,DNK,3067.34
36,36,PHL,3049.06
37,37,IRL,3044.3
38,38,SGP,2969.66
39,39,MYS,2965.36
40,40,ZAF,2949.0
41,41,COL,2823.57
42,42,PAK,2789.13
43,43,CHL,2470.25
44,44,FIN,2386.01
45,45,VEN,2364.43
46,46,BGD,2283.88
47,47,PRT,2046.49
48,48,VNM,2013.09
49,49,CZE,1953.28
50,50,PER,1952.99
